2026/09/25 01:27:18.561, 2190 MHz, [N/A], 9.93 W, 0 %, 50, 0x0000000000000000
2026/09/25 01:27:19.062, 2190 MHz, [N/A], 9.86 W, 0 %, 50, 0x0000000000000000
2026/09/25 01:27:19.563, 2190 MHz, [N/A], 9.85 W, 0 %, 50, 0x0000000000000000
2026/09/25 01:27:20.063, 2190 MHz, [N/A], 9.83 W, 0 %, 50, 0x0000000000000000
2026/09/25 01:27:20.564, 2190 MHz, [N/A], 9.84 W, 0 %, 50, 0x0000000000000000
2026/09/25 01:27:21.064, 2190 MHz, [N/A], 9.85 W, 0 %, 50, 0x0000000000000000
2026/09/25 01:27:21.565, 2190 MHz, [N/A], 9.82 W, 0 %, 50, 0x0000000000000000
2026/09/25 01:27:22.066, 2190 MHz, [N/A], 9.79 W, 0 %, 50, 0x0000000000000000
2026/09/25 01:27:22.566, 2190 MHz, [N/A], 9.81 W, 0 %, 50, 0x0000000000000000
2026/09/25 01:27:23.067, 2190 MHz, [N/A], 9.81 W, 0 %, 50, 0x0000000000000000
2026/09/25 01:27:23.568, 2190 MHz, [N/A], 9.77 W, 0 %, 50, 0x0000000000000000
2026/09/25 01:27:24.069, 2190 MHz, [N/A], 9.76 W, 0 %, 49, 0x0000000000000000
2026/09/25 01:27:24.570, 2190 MHz, [N/A], 9.80 W, 0 %, 49, 0x0000000000000000
2026/09/25 01:27:25.070, 2190 MHz, [N/A], 9.84 W, 0 %, 49, 0x0000000000000000
